Region,total_input_share,matched_input_share,exact_allocated_emissions_kgco2,exact_input_coverage,proxy_intensity_kg_per_input_share,is_material_customer_region,proxy_index_vs_material_avg
eu-5.platform.sh,0.055524391077095774,0.05319036610360683,14670.460919022207,0.9579639699200276,275810.48963728425,True,0.4686294047595659
au.platform.sh,0.16570836429841196,0.1570724230006482,56040.55673209234,0.9478846989147033,356781.64035109506,True,0.6062074287557234
us.platform.sh,0.12392257928943179,0.11509567161671398,63922.261282722924,0.9287707879925432,555383.7115229992,True,0.9436520651787358
eu-2.platform.sh,0.1119720440350248,0.11050450178237675,65182.05400731848,0.9868936727439842,589858.8107811705,True,1.0022286815562724
us-2.platform.sh,0.19639438076511004,0.1884438708998307,118665.01173089523,0.9595176306251437,629710.1156130085,True,1.069940004960963
eu.platform.sh,0.07627729941187483,0.06977701775296594,44110.811188022824,0.9147809150425044,632168.1924582948,True,1.0741165215625423
eu-4.platform.sh,0.12773229792212687,0.12651014347810577,82626.77111528415,0.9904319074822705,653123.685134258,True,1.1097219841107389
eu-3.platform.sh,0.06590679890071018,0.06174422101450278,40764.25373356189,0.9368414495069257,660211.6451349672,True,1.1217651318549027
ca-1.platform.sh,0.06828720087245872,0.06644403067888273,72420.8841884826,0.9730085554829152,1089953.2049535855,True,1.8519387073526727
admin.platform.sh,0.008057390347042219,0.0005640638144777373,1178.497205765105,0.07000576988116246,2089297.6566069343,False,3.549924147079674
us.dev.vpn.internal.platform.sh,0.0002172530806557968,3.3093173992073676e-06,10.325662202588253,0.015232545330164769,3120178.863792699,False,5.301493665471122
